"RowNumber","Prey...predator","Baleen.whales","Toothed.whales","Seals","Seabird.surface.feeders","Seabird.inshore.divers","Seabird.offshore.divers","Gulls","Manx.shearwater","European.storm.petrel","Cod","Juvenile.cod","Blue.whiting","Juvenile.blue.whiting","Hake","Juvenile.hake","Plaice","Juvenile.plaice","Megrim","Juvenile.megrim","Whiting","Juvenile.whiting","Monkfish","Juvenile.monkfish","Haddock","Juvenile.haddock","Sole","Mackerel","Horse.mackerel","Red.mullet","Sea.bass","Large.sharks","Small.sharks","Pilchard","Sprat","European.Anchovy","Herring","Rays.and.Skates","Turbot.and.Brill","Small.and.medium.flatfish","Trisopterus","Gurnards","Pollack.and.Saithe","Small.benthic.fishes","Small.pelagic.spp.","Garfish","Demersal.predators","Small.crabs.and.other","Large.crabs.and.lobsters","Small.benthic.crustacea","Bivalves","Gastropods","Cuttlefish","Squid","Sessile.invertebrate","Echinoderms","Polychaetes","Nematoda","Large.zooplankton","Small.zooplankton","Carnivorous.macroplankton","Euphausiids","Microflagellate","Pelagic.bacteria","Benthic.bacteria"
27,"Mackerel",0.0179785223118803,0.239040717609593,0,0.25758143553663,0,0,0,0,0,0.0534003631726159,0.0314014067841639,0,0,0.1901902,0.1,0,0,0.0333751593001769,0.0135668206207919,0,0,0.202,0,0.1967246,0.00611269595933119,0,0.009012528,0,0,0.3946054,0.202797195944056,0.3441032,0,0,0,0,0.01000991,0,0,0,0,0.114279478316274,0,0,0,0.106393316561871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Horse mackerel",0,0.288840867111591,0.0219992943433553,0,0,0,0,0,0,0.0680553697466551,0.00807464693477799,0,0,0.1501502,0.015,0,0,0.181338385510224,0.111665356671523,0.0065,0,0.417,0,0.1847414,0,0,0.06108491,0,0,0,0,0.05601681,0,0,0,0,0.01801784,0,0,0,0,0,0,0,0,0.10004876098708,0,0,0,0,0,0.1124454,0,0,0,0,0,0,0,0,0,0,0,0
29,"Red mullet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01000991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Sea bass",0,0,0,0,0,0,0,0,0,0.0199889062970675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04495505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Large sharks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Small sharks",0,0,0,0,0,0,0,0,0,0.000540566989108801,0,0,0,0.007007007,0,0,0,0.00778753816900443,0,0,0,0,0,0.003994408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Pilchard",0,0.001,0,0.00284097251649104,0.001,0.001,0.001,0,0,0.0420441058158755,0,0,0,0.088703,0.003,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.0304695375,0.351301292973974,0,0,0,0,0,0,0,0,0,0,0.117908453885959,0,0,0,0.0527112509751903,0,0,0,0,0,0.09279477,0,0,0,0,0,0,0,0,0,0,0,0
34,"Sprat",0.499503298211874,0.001,0.001,0.0511375052968387,0.001,0.909531511197475,0.00201499112032907,0.235213814484904,0.00342563969657929,0,0,0.02,0,0.00887020199999988,0.009,0,0,0,0,0.013931528,0.0088,1.63999999913678e-07,0.000370402000000047,0.0824013650000001,0,0,0.01602227,8.00000000689138e-08,0,0.0101565125,0,7.00000000186662e-08,0,0,3.33066907387547e-16,0,1.70000000743187e-08,2.69999999025217e-08,0,0,1.00000000058387e-07,0,0,4.00000000899681e-08,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"European Anchovy",0,0.001,0,0.00284097251649104,0.001,0.001,0.001,0,0,0,0,0,0,0.0088703,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235816907771918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Herring",0.481521179476246,0.0099600299003997,0.000199955,0.0568194503298208,0.422274464931993,0.0563895847402392,0.00201499112032907,0.235213814484904,0.00342563969657929,0,0,0.01287689,0,0.009672471,0.009,0,0,0,0,0.06,0.045,0,0,0,0,0,0,0,0,0.02031302,0.0702771185944576,0.0180054,0,0,0,0,0.001000991,0,0,0,0,0.00643473627512209,0,0,0.018,0.0263516723414293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Rays and Skates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05004955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Turbot and Brill",0,0.0099600299003997,0.0109996471716777,0,0,0,0,0,0,0.00100105042402903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Small and medium flatfish",0,0,0.0199993530383738,0.001,0.00200605429502098,0.001,0.001,0,0,0.0730766529696505,0.0215323924374161,0,0,0.001001001,1e-04,0,0,0.00333751593001769,0.0052180104649801,0.002996763,0,0,0.4374374,0,0,0,0,0,0,0,0.210789195784216,0.0030009,0,0,0,0,0,0,0,0.042708741312039,0,0,0,0,0,0.0117130256765362,0,0,0,0,0,0.08078603,0,0,0,0,0,0,0,0,0,0,0,0
40,"Trisopterus",0.00019996,0.0697202192628278,0.131995766060132,0.00757592737087208,0,0,0,0,0.212389633243829,0.100105042402903,0.237350283806819,0,0,0.1571572,0.196,0,0,0.389376958398379,0.0344388784520004,0.539,0.083,0.03796203,0.221,0.2496505,0,0,0,0,0,0.01798202,0,0.0240072,0,0,0,0,0.003002973,0,0,0,0.005992808,0,0,0,0,0.0414836374848266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Gurnards",0,0,0,0,0,0,0,0,0,0.100105042402903,0,0,0,0.007007007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585651283826812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"Pollack and Saithe",0,0,0.135995628666281,0.001,0.114345118702913,0.001,0.001,0,0,0.0500525012125453,0,0,0,0,0,0,0,0,0,0,0,0.03796203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390434238022148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Small benthic fishes",0,0.0099600299003997,0.103996627798018,0.00134472667753017,0.364098862508548,0,0,0,0.164430693459768,0.0800840139334162,0.0645971773122484,0,0,0.001001001,0.0009997,0,0,0.0233626214997554,0.0563545202088647,0.035,0.01,0.001998002,0.149,9.99e-05,0.000436620827830511,0,0,0,0,0.00899101,0,0.0030009,0,0,0,0,0.01401387,0.07010516,0.0170622223758764,0.0194811856317382,0.02896524,0.000771736255081539,0,0,0,0.0078086837843575,0,0,0,0,0,0.04039301,0,0,0,0,0,0,0,0,0,0,0,0
44,"Small pelagic spp.",0.001,0.001,0.0249991962989207,0.001,0.001,0.001,0.001,0.001,0,0.0130136475168149,0.0170464784925531,0,0,0.04004004,0.04,0,0,0.0623003073499618,0.0104360189335492,0.03,0.001996406,0.006993007,0.04504505,0.08987418,0.000349296662264409,0,0.002002784,0.004995005,0,0.08791209,0,0.0010003,0,0,0,0,0.000910902,0,0,0,0.00699161,0,0,0,0,0.0175695385148044,0,0,0,0,0,0.2936682,0,0,0,0,0,0,0,0,0,0,0,0
45,"Garfish",0,0,0,0.25758143553663,0,0,0,0,0.00685128039116168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Demersal predators",0,0,0.0179994217352992,0.00946990871841812,0.00802421718008393,0,0,0,0,0.00400420069667081,0.00717746414580538,0,0,0.006006006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Small crabs and other",0,0,0,0.0170458301472264,0.0110332946414959,0,0.167244194814588,0.0440077366090842,0,0.0490514567851881,0.43782521202278,0.150185,0.0300882999999999,0.003003003,0.26,0,0.15,0.0356001799098203,0.2838597988418,0.105,0.1487323,0.02197802,0.02202202,0.02796086,0.145831443889471,0,0.08712111,0.004995005,0.248732324186444,0.3496504,0,0.210063,0,0,0,0.00483755153347696,0.6416352,0.3345017,0.155567318786798,0.330430797894815,0.6322412,0.102640945651688,0.0751714205921938,0,0.76,0.0209858425508881,0.006060606,0.18,0,0,0,0.09170306,0.004,0,0,0,0,0,0,0,0,0,0,0
48,"Large crabs and lobsters",0,0,0,0,0.00200605429502098,0,0,0,0,0.0290304483046075,0,0,0,0.002002002,0,0,0,0.00667503285899853,0.0469621051650814,0.002996763,0.000798563,0.04595404,0,0.01098462,0.0253240254929858,0,0,0,0.0717147973834723,0,0,0,0,0,0,0,0.01301288,0.0440661,0.0311445743466628,0,0,0,0,0,0,0.0278184359817736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Small benthic crustacea",0,0,0,0.0378796269509207,0,0,0.0947045717873507,0,0.449900701441479,0,0.000448591394486304,0,0,0,0.05,0.0166033174481172,0.05,0,0.000208720777953185,0.000109881,0.000998203,0,0,0.00499301,0.00611269595933119,0,0.004005568,0.000799201,0.0181556423766793,0,0,0.00020006,0,0,0.0555555555555556,0.00950449422740722,0.001000991,0,0.00301098099439319,0.00674348554911426,0.003995206,0.0509345899595218,0.0432039482218072,0.01455767,0.02,0,0,0,0,0,0,0.09279476,0.003,0,0,0,0,0,0,0,0,0,0,0
50,"Bivalves",0,0,0,0,0,0,0.0987345480999458,0,0,0.000320336215644915,0.00179436557794521,0,0,0,0,0,0,0.000511752842187975,0.00417440857162518,0,0,0,0,0.00499301,0.124873644153607,0,0,0,0,0,0,0.0030009,0,0,0,0,0,0.000500751,0.109508296641623,0,0.003995206,0,0,0,0.01301301,0,0.2424242,0.2,0,0,0,0.05567685,0,0,0.05,0,0,0,0,0,0,0,0,0
