,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62
49,Cuttlefish,,,,,,,,,,0.000541,0.00489,,,,0.00200,,,0.00557,0.0450,0.00200,0.0489,0.0759,,,0.00200,,,,,,,0.0110,,0.0140,,,0.00801,0.0340,,,,,0.0120,,,,,,0.0251,,,,,,,,,,,,
50,Squid,,,0.0540,0.00574,,,,0.484,,0.000321,0.000978,,,,0.000900,,,0.00334,0.0178,0.00200,0.00699,0.0220,0.0490,0.00200,,,,,,0.0260,,0.100,,0.00500,,,0.0541,,0.286,,,,,,,,,,0.112,,,,,,,,,,,,
51,"Sessile invertebrate",,,,,,,,,,0.000541,0.000978,,,,,,,0.00111,,,,,,0.00300,0.0180,,0.00701,,,,,0.0140,,,,0.194,,,,,,,,,,,,,,,,0.01000,,,,,,,,,
52,Echinoderms,,,,,,,,,,,0.000881,,,,0.000400,,,,,,,,,0.0270,0.522,0.391,,,0.241,,,,,,,0.0164,,,,,,,,,,,,,,,,0.0600,,,,,,,,,
53,Polychaetes,,,,0.000344,,,0.00816,,,0.00401,,,,,,0.763,0.210,0.000635,,0.000529,,,,0.00799,,0.609,0.000701,,0.387,0.00899,,0.0280,,0.0150,0.0180,0.327,0.0521,0.00300,,0.730,,0.187,,,,,,,,0.00100,,0.110,,,,,,,,,
54,Nematoda,,,,,,,,,,,,,,,,,,0.00223,,,0.00299,,0.00901,0.000300,0.000899,,0.00100,,,,,0.00100,,,,,,,,,,,,,,,,,,,0.01000,,,,,,,,,,
55,Zooplankton,,,,0.00765,,,,,0.0755,,,,,,,,0.160,,0.000314,,,,,,,,0.378,0.442,,,,,0.736,0.000100,0.00100,0.00205,0.00100,0.000200,,0.0501,0.897,,,,,,,,,0.0180,0.490,,,,,1.000,0.230,,,,0.0416
56,"Carnivorous macroplankton",,,,,,,,,0.0137,,,,,,,,0.330,,,,,,,,,,0.000911,,,,,0.000500,,,,,,,,,0.0300,,,,,,,,,,,,,,,,0.00501,,,,
57,Euphausiids,,,,,,0.00455,,,0.0343,,0.000587,0.695,0.904,,0.0230,0.219,,0.0145,0.220,0.000320,0.185,,,0.00399,0.00200,,0.397,0.537,,,,0.152,0.00555,0.0470,0.521,0.113,0.342,0.270,,0.0826,0.0582,,0.00200,,,,,,,0.974,,,,,,,,,,,0.772
58,Microflagellate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.330,,,,,,
59,"Pelagic bacteria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.700,,,
60,"Benthic bacteria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300,0.300,,,,,,,
61,Phytoplankton,,,,,,,,,,,0.0176,,,,0.000100,,0.100,,0.00209,,0.00699,,,,0.0759,,0.0200,0.000200,,,,,0.138,,,,,,,,,,,,,,0.500,,,,0.100,0.0500,,,0.600,,0.582,,,,
62,Herring,0.0196,0.01000,0.000200,0.0574,0.424,0.0568,0.00204,0.236,0.00343,,,0.0129,,0.00967,0.00741,,,,,0.0283,0.0183,,,,,,,,,0.0203,0.0703,0.0180,,0.00100,,,,,0.00895,,,0.256,0.0540,,,,,,,,,,,,,,,,,,
63,"Particulate organic matter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.752,0.620,1.000,0.500,1.000,,,0.400,,0.400,0.700,,,0.183,0.300,,,
64,Discards,,,,0.277,,,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Dissolved organic matter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.720,0.300,,0.0700,,,,1.000,1.000,
,Import,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Sum,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.999
,"(1 - Sum)",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
